Year,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
2018,ILLINOIS,17,EAST SOUTHEAST,70,EFFINGHAM,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,EAST SOUTHEAST,70,FAYETTE,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,EAST,50,FORD,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,SOUTHEAST,90,FRANKLIN,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,WEST,30,FULTON,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,SOUTHEAST,90,GALLATIN,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,WEST SOUTHWEST,60,GREENE,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,NORTHEAST,20,GRUNDY,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,SOUTHEAST,90,HAMILTON,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,WEST,30,HANCOCK,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,SOUTHEAST,90,HARDIN,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,WEST,30,HENDERSON,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,NORTHWEST,10,HENRY,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,EAST,50,IROQUOIS,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,SOUTHWEST,80,JACKSON,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,EAST SOUTHEAST,70,JASPER,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,SOUTHEAST,90,JEFFERSON,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,NORTHEAST,20,KANE,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,EAST,50,KANKAKEE,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
2018,ILLINOIS,17,NORTHEAST,20,KENDALL,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,18,16,9,14,12,6,2,2,4,0,0,0,0,0
